Furnished,Price(L),Bedrooms,Bathrooms,Area(in sqft),Filtered Locality
Semi-Furnished,"14,000",2,2,1000,Dilsukh Nagar
Unfurnished,"20,000",3,3,1630,LB Nagar
Furnished,"27,000",2,2,1050,Madhapur
Semi-Furnished,"15,000",2,2,915,Adikmet
Semi-Furnished,"14,000",2,2,1200,Koti
Semi-Furnished,"16,500",3,2,1144,Chandanagar
Semi-Furnished,"29,000",3,1,1660,Erragadda
Furnished,"40,000",3,2,1198,Gachibowli
Semi-Furnished,"17,500",2,2,1200,Tank
Semi-Furnished,"16,000",3,2,1655,"Nagar,"
Semi-Furnished,"30,000",3,1,2000,Ring
Semi-Furnished,"25,000",3,3,2003,Ring
Semi-Furnished,"24,000",3,2,1600,Kukatpally
Semi-Furnished,"35,000",3,2,2500,Banjara Hills
Semi-Furnished,"40,000",3,2,2000,Madhapur
Furnished,"22,000",3,2,1570,Kukatpally
Semi-Furnished,"23,000",2,2,1380,junction
Semi-Furnished,"40,000",5,2,4000,Kondapur
Semi-Furnished,"27,000",3,2,1800,Narsingi
Unfurnished,"12,500",2,1,1095,Gajularamara
Unfurnished,"12,500",2,1,150,Bandlaguda
Unfurnished,"12,000",2,2,1000,Gudimalkapur
Furnished,"18,000",3,2,1260,Tarnaka
Unfurnished,"25,000",3,2,1800,junction
Furnished,"25,000",3,2,1610,A
Unfurnished,"23,000",3,2,1495,Miyapur
Unfurnished,"16,000",3,2,1300,Nizampet
Semi-Furnished,"38,000",3,3,2600,Yousufguda
Semi-Furnished,"18,500",3,2,1265,Chandanagar
Unfurnished,"50,000",3,1,2285,Gachibowli
Furnished,"22,000",3,2,1425,Ring
Semi-Furnished,"31,000",3,3,2200,Kothaguda
Semi-Furnished,"38,000",3,1,1840,Gachibowli
Unfurnished,"25,000",3,2,1525,Hafeezpet
Semi-Furnished,"16,500",2,2,1250,Attapur
Furnished,"50,000",3,2,2259,Phase
Furnished,"36,000",2,1,1365,Gachibowli
Semi-Furnished,"30,000",2,1,1314,Narsingi
Semi-Furnished,"32,000",3,2,1925,Hyderabad
Semi-Furnished,"10,000",2,2,800,Amberpet
Semi-Furnished,"16,000",2,1,1400,Attapur
Unfurnished,"19,000",3,2,1600,Ring
Semi-Furnished,"17,500",3,2,1500,Kukatpally
Semi-Furnished,"20,000",3,2,1800,Bachupally
Unfurnished,"13,000",2,1,810,Serilingampally
Semi-Furnished,"26,000",2,2,1450,Madhapur
Semi-Furnished,"40,000",3,3,2192,Kothaguda
Semi-Furnished,"26,000",3,3,1800,Hafeezpet
Furnished,"18,000",3,1,1400,colony
Unfurnished,"15,000",2,1,768,Manikonda
Semi-Furnished,"15,000",3,1,1700,Aminpur
Semi-Furnished,"50,000",4,2,2800,Banjara Hills
Semi-Furnished,"18,000",3,3,1740,Hastinapuram
Semi-Furnished,"18,000",3,3,1575,Narsingi
Unfurnished,"10,000",2,2,1250,Bachupally
Semi-Furnished,"13,000",2,1,1100,Attapur
Unfurnished,"25,000",2,2,1800,Kukatpally
Semi-Furnished,"15,000",3,1,1700,Attapur
Semi-Furnished,"18,000",2,1,850,"Lakdikapul,"
Semi-Furnished,"24,000",3,2,1650,Manikonda
Unfurnished,"17,000",2,1,1200,Balkampet
Semi-Furnished,"16,500",2,2,1000,Puppalaguda
Semi-Furnished,"45,000",3,3,2192,Kothaguda
Semi-Furnished,"23,000",3,2,1525,Hafeezpet
Semi-Furnished,"14,000",2,1,1150,Chowki
Semi-Furnished,"23,000",3,3,1775,Attapur
Unfurnished,"25,000",3,2,1490,Serilingampally
Semi-Furnished,"25,000",3,2,1450,Mehdipatnam
Semi-Furnished,"15,000",3,2,1200,Kompally
Semi-Furnished,"35,000",3,2,1870,Madhapur
Semi-Furnished,"34,000",3,1,1756,Gachibowli
Unfurnished,"26,000",3,1,1500,Jubilee Hills
Furnished,"15,000",3,1,1360,Nizampet
Unfurnished,"16,000",2,2,1160,"Nagar,"
Unfurnished,"14,000",3,2,1450,Nagar
Unfurnished,"10,000",2,1,950,Hayathnagar
Semi-Furnished,"35,000",3,1,2200,Kondapur
Unfurnished,"10,500",2,1,670,"Quthbullapur,"
Furnished,"36,000",4,1,3000,Puppalaguda
Semi-Furnished,"18,000",2,2,1200,Puppalaguda
Semi-Furnished,"18,000",3,2,1933,Kukatpally
Unfurnished,"26,000",3,2,2200,Attapur
Semi-Furnished,"18,000",3,1,1933,Kukatpally
Unfurnished,"10,200",2,1,900,"Quthbullapur,"
Unfurnished,"14,500",2,1,900,Borabanda
Semi-Furnished,"18,000",3,2,1650,Miyapur
Semi-Furnished,"23,000",3,2,1850,Manikonda
Semi-Furnished,"36,000",3,2,1650,Gachibowli
Unfurnished,"25,000",4,2,2000,Chowki
Semi-Furnished,"9,000",2,1,100,Narapally
Semi-Furnished,"45,000",3,2,1690,Gachibowli
Semi-Furnished,"13,000",2,2,1100,Bowenpally
Semi-Furnished,"30,000",3,1,1850,Shaikpet
Semi-Furnished,"25,000",3,2,1925,Hafeezpet
Semi-Furnished,"17,000",3,1,1600,Uppal
Semi-Furnished,"17,000",3,2,1750,Bowenpally
Unfurnished,"20,000",3,2,1700,Nizampet
Unfurnished,"35,000",3,2,1782,Ring
Semi-Furnished,"15,000",3,2,1450,Bowenpally
Unfurnished,"10,000",2,1,954,"Pocharam,"
Semi-Furnished,"16,000",3,2,1933,Gajularamara
Semi-Furnished,"32,000",3,2,1700,Kothaguda
Semi-Furnished,"14,000",2,1,1008,Miyapur
Unfurnished,"15,000",2,1,1100,Chandanagar
Unfurnished,"8,500",2,1,1140,Secunderabad
Semi-Furnished,"10,000",3,1,1350,"Puram,"
Semi-Furnished,"15,000",2,1,900,Nagar
Furnished,"29,000",3,1,1745,Nacharam
Semi-Furnished,"19,500",2,2,1180,Narayanguda
