Furnished,Price(L),Bedrooms,Bathrooms,Area(in sqft),Filtered Locality
Semi-Furnished,"25,000",3,2,2500,"Malakpet,"
Semi-Furnished,"23,000",3,2,1250,Nagar
Furnished,"32,000",3,2,1800,Gachibowli
Semi-Furnished,"14,000",2,2,1200,Attapur
Semi-Furnished,"16,000",2,2,900,Allapur
Unfurnished,"15,000",2,2,1200,"Punjagutta,"
Semi-Furnished,"26,000",2,1,850,Gachibowli
Unfurnished,"14,000",2,2,1100,Chandanagar
Furnished,"12,000",2,1,1000,Jubilee Hills
Semi-Furnished,"35,000",3,2,1450,Hitech City
Semi-Furnished,"21,000",3,2,1600,Serilingampally
Semi-Furnished,"27,000",2,1,1025,Gachibowli
Furnished,"15,000",2,1,880,Hyderabad
Semi-Furnished,"12,000",2,1,1400,Bandlaguda
Unfurnished,"10,000",2,3,1000,Dilsukh Nagar
Unfurnished,"22,000",3,1,1250,Nagar
Semi-Furnished,"30,000",3,2,1868,Hitech City
Semi-Furnished,"20,000",2,1,1200,Serilingampally
Semi-Furnished,"34,000",3,3,1480,Gachibowli
Unfurnished,"15,000",2,1,900,KPHB
Unfurnished,"14,000",3,1,1515,Kukatpally
Unfurnished,"16,000",3,2,1500,Habsiguda
Semi-Furnished,"12,000",2,2,1100,Kukatpally
